Habitat,Date,ANTPAL,CORTOW,EPTFUS,EUDMAC,EUMPER,EUMUND,LASBLO,LASCIN,LASNOC,LASXAN,MACCAL,MYOCAL,MYOCIL,MYOEVO,MYOOCC,MYOTHY,MYOVEL,MYOVOL,MYOYUM,NYCFEM,NYCMAC,PARHES,TADBRA,NOID,NOISE
Stream,20200522,15,,18,,,,,3,4,10,,6,164,12,1,1,22,14,9,1,,3,61,210,127
Stream,20200523,13,,37,,1,,4,1,2,13,,2,48,5,1,1,7,3,2,1,,1,11,138,107
Stream,20200524,25,,39,,,,6,,2,41,,4,96,14,1,,8,8,11,,,5,37,222,128
Stream,20200525,38,,56,,,,3,4,,12,,,25,9,,,13,3,5,1,,3,26,175,93
Stream,20200526,39,,54,,,,4,,1,18,,,44,13,1,,8,6,12,,,5,15,137,76
Stream,20200527,35,,34,,,,9,4,1,11,,2,66,5,,,35,13,17,,,8,24,178,89
Stream,20200528,29,,29,,,,3,2,,13,,4,78,11,1,,46,11,4,2,,7,10,197,64
Cottonwood,20200529,8,1,25,,,,4,14,15,3,,3,52,,,,77,6,,13,2,23,74,148,322
Cottonwood,20200530,7,,34,,,,4,7,13,1,,1,57,,,,80,,,7,3,25,51,138,221
Cottonwood,20200531,7,,13,,,,1,17,7,3,,1,33,,,,42,,6,20,5,34,45,108,232
Cottonwood,20200601,3,,15,,,1,2,26,17,,,,19,1,,,34,,3,14,3,5,67,115,352
Cottonwood,20200602,6,,173,,,,2,18,82,8,,1,34,,,,51,4,1,4,,18,164,240,151
Cottonwood,20200603,3,,80,,,,1,11,41,11,,,35,,1,,64,,,1,,41,36,168,145
Cottonwood,20200604,3,,30,,,1,2,15,38,4,,,48,,2,,101,2,,25,,14,168,250,262
Stream1,20200509,30,1,48,,,,3,6,1,2,,1,114,10,,1,26,8,8,1,,,22,170,72
Stream1,20200510,14,,36,,,1,1,3,5,7,,5,141,15,1,,41,12,15,,,4,50,222,111
Stream1,20200511,11,1,26,,,,1,5,1,3,,,83,15,1,,27,10,9,5,,4,41,159,102
Stream1,20200512,8,,23,,,,2,4,1,8,,1,63,7,,,17,5,10,3,,7,20,124,111
Stream1,20200513,8,,19,,,,2,3,1,8,,1,28,8,,,4,5,4,1,,2,19,57,73
Stream1,20200514,13,,22,,,,1,5,1,7,,1,55,7,,,6,3,6,2,,2,27,101,101
Stream1,20200515,10,,14,,,,1,,2,9,,,83,4,2,,27,6,6,1,,,21,155,74
Mesquite,20200619,,,4,,,1,1,7,6,10,,,4,,,,,1,,9,,3,26,42,303
Mesquite,20200620,1,,10,,,,3,8,1,7,,1,8,,,,1,4,,4,,1,8,39,811
Mesquite,20200621,1,,15,,,1,,5,6,7,,2,7,,,,2,3,,5,,5,16,60,353
Mesquite,20200622,1,,9,,,1,,4,7,8,,1,10,,,,3,,,8,,6,13,33,236
Mesquite,20200623,,2,9,,,,1,7,7,5,,1,4,,,,2,,,2,,3,25,54,290
Mesquite,20200624,,,4,,,,2,4,1,3,,,11,,,,4,,,9,1,2,18,36,1149
Mesquite,20200625,,,7,,,,1,3,2,2,,,8,,,,6,,,5,2,3,19,35,465
Lake,20200612,13,1,390,,,,4,29,79,62,,1,12,2,,,46,36,9,14,,262,238,504,112
Lake,20200613,17,3,329,,,,10,63,71,58,,,3,,1,,10,5,16,5,,300,373,557,104
Lake,20200614,15,,384,,,,1,39,128,27,,2,5,,,,6,4,4,9,1,181,330,500,131
Lake,20200615,5,1,251,,,,5,40,117,57,,1,19,,,,20,7,10,7,1,210,312,442,108
Lake,20200616,42,3,313,,,,9,18,104,65,,2,7,2,,,32,18,8,7,,262,229,622,87
Lake,20200617,8,2,284,,,,7,41,127,26,,8,10,,,,12,7,14,8,2,184,266,477,121
Lake,20200618,6,1,372,,,,4,36,126,51,,3,7,1,,,13,11,52,19,1,175,282,450,124
Palm,20200605,5,,39,,,1,2,14,12,111,,3,73,3,7,,51,9,4,6,,27,59,305,126
Palm,20200606,4,,13,,,3,1,48,9,37,,,,1,,,,,1,13,,40,101,167,203
Palm,20200607,6,,43,,,2,3,13,41,72,,1,11,8,4,1,1,2,2,13,,53,75,269,178
Palm,20200608,9,,55,,,,11,16,23,70,,2,4,3,12,,,1,2,12,,47,154,274,299
Palm,20200609,15,1,148,,,,5,16,66,94,,,3,,9,,1,,2,5,,33,106,323,271
Palm,20200610,6,1,117,,,,39,16,39,71,,,5,,2,1,1,2,,5,,31,102,330,268
Palm,20200611,15,2,104,,,,30,14,23,135,,1,15,2,10,,3,2,2,3,,50,96,423,253
